id,company,created_at,type,num_commits
850,Counsyl,09/04/09,USR,804
854,@luizalabs,03/06/10,USR,414
856,UniCredit R&D,11/04/09,USR,1767
858,@TailorDev ,03/07/10,USR,11356
859,@Incenteev,10/14/10,USR,8158
861,Student at University of Paderborn,04/20/11,USR,1960
862,Mozilla,04/16/11,USR,9248
866,Pivotal,11/16/10,USR,8323
867,"Light Transport Entertainment, Inc.",07/28/08,USR,1987
869,Mozilla,10/31/09,USR,17354
872,Mozilla Corporation,11/25/09,USR,10380
873,Mozilla,06/09/10,USR,11197
875,Ubisoft Blue Byte,12/21/10,USR,5556
877,@heroku,03/13/08,USR,4299
886,http://spring.io,09/22/11,USR,4828
895,"InterWorks, Inc.",04/09/09,USR,625
896,"Square, Inc.",03/24/09,USR,15442
901,@netvibes,03/09/09,USR,1568
903,MongoDB,11/24/09,USR,780
904,Percolate Industries,11/15/10,USR,496
909,@Pasilobus ,08/02/11,USR,180
923,qiidi,02/08/10,USR,2105
941,Capgemini UK,03/19/12,USR,468
947,@digiPlant,06/10/08,USR,1055
950,@google ,04/06/11,USR,169
961,JBpro's Interactive,02/06/09,USR,1335
962,Joyent,07/11/10,USR,718
963,IBM,05/13/10,USR,7712
965,Northwestern University,11/15/08,USR,3056
967,Foursquare,02/28/11,USR,177
972,NUBIC,05/17/11,USR,211
973,Computer Science Student,05/21/11,USR,373
974,"StrongLoop, Inc.",03/08/10,USR,2813
975,@PeachBun,03/26/08,USR,4800
981,Google Canada,11/24/09,USR,2789
988,Google,08/04/09,USR,8228
989,thoughtram GmbH,12/13/10,USR,2960
990,nuccio sas,04/05/08,USR,229
992,AG Projects,06/29/10,USR,9344
994,TableXI,04/21/08,USR,1548
995,"npm, Inc.",05/04/08,USR,16203
1001,"CoreOS, Inc (we're hiring!)",11/09/08,USR,6242
1003,npm,03/26/11,USR,4929
1004,Google,04/06/08,USR,4110
1006,Incuna,11/09/10,USR,845
1007,"Human Practice, Inc.",03/07/08,USR,2405
1008,Rackspace,03/02/08,USR,7271
1012,Northwestern University,07/10/09,USR,699
1015,Incuna Ltd,10/23/08,USR,214
1019,Slash7 LLC,03/18/08,USR,1820
1024,Master Merchant Systems,02/21/11,USR,976
1026,Plaid,01/27/09,USR,1240
1027,Lev Interactive,11/24/09,USR,275
1032,oldschooldev,06/23/11,USR,386
1033,Allianz AMOS SE,02/21/11,USR,309
1034,Phinlander LLC,07/20/11,USR,391
1040,Freelance,10/13/09,USR,338
1043,@apigee ,04/16/10,USR,167
1048,"Brightcove, Inc",02/15/11,USR,2994
1050,@civicsource ,12/04/11,USR,381
1058,StackStorm,09/09/09,USR,16338
1059,Simettric.com,11/05/09,USR,528
1060,could be yours ;),02/12/09,USR,364
1062,OpenTable,07/23/09,USR,257
1063,RailsCasts,02/07/08,USR,3066
1065,Socrata,08/03/11,USR,4816
1068,Rackspace,11/21/11,USR,601
